X_Type,Y_Type,Num_Entries_X,Num_Entries_Y,Normalized Range (X),Normalized Range (Y),Num_Unique_X,Num_Unique_Y,Has_None_X,Num_None_X,Percentage_None_X,Has_None_Y,Num_None_Y,Percentage_None_Y,Normalized Mean (X),Normalized Median (X),Sample Variance (X),Sample Standard Deviation (X),Coefficient of Variation (X),Minimum Value (X),Maximum Value (X),Normalized Mean (Y),Normalized Median (Y),Sample Variance (Y),Sample Standard Deviation (Y),Coefficient of Variation (Y),Minimum Value (Y),Maximum Value (Y),Mean C (X),Median C (X),Min C (X),Max C (X),Std C (X),Unique C (X),Mean C (Y),Median C (Y),Min C (Y),Max C (Y),Std C (Y),Unique C (Y),Num Identical Elements,Has Shared Elements,Percent Shared Elements,Identical,Num Shared Unique Elements,Has Shared Unique Elements,Percent Shared Unique Elements,Identical Unique,Correlation Value,Correlation P,Ks Statistic,Ks P,Correlation Significant 005,Ks Significant 005,Q Entropy (X),Q Entropy (Y),C Entropy (X),C Entropy (Y),Perc Mode (X),Perc Mode (Y),Kurtosis (X),Skewness (X),Kurtosis (Y),Skewness (Y),% Outliers (1.5 IQR) (X),% Outliers (3 IQR) (X),% Outliers (1-99 Percentile) (X),% Outliers (3 Std Dev) (X),Has Outliers (1.5 IQR) (X),Has Outliers (3 IQR) (X),Has Outliers (1-99 Percentile) (X),Has Outliers (3 Std Dev) (X),% Outliers (1.5 IQR) (Y),% Outliers (3 IQR) (Y),% Outliers (1-99 Percentile) (Y),% Outliers (3 Std Dev) (Y),Has Outliers (1.5 IQR) (Y),Has Outliers (3 IQR) (Y),Has Outliers (1-99 Percentile) (Y),Has Outliers (3 Std Dev) (Y),Sortedness (X),Is Sorted (X),Sortedness (Y),Is Sorted (Y),Plot_Type
d,q,4143,4143,,5.625371421008536,4143,1631,False,0,0.0,False,0,0.0,,,,,,,,0.17775023136305276,0.006669630947087594,6016766.712409469,2452.9098459603993,0.000332205227029168,1.0,11245.0,19.0,19.0,19.0,19.0,0.0,4143.0,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.0,0.0,0.0,0.0,False,False,,7.480733873411765,8.3291754420774,,0.0002413709872073377,,,,-1.0907367308990648,0.681593019961558,,,,,,,,,0.9512430605841178,0.9512430605841178,0.9512430605841178,0.9512430605841178,True,True,True,True,,,0.8517403447288082,False,bar
c,q,101,101,,3.7595098139745176,101,99,False,0,0.0,False,0,0.0,,,,,,,,0.29571187914925057,0.24897352945461282,0.006224266130702488,0.0788940183455152,14.209550022661602,-0.033417669536167954,0.29908849516977387,9.425742574257425,9.0,3.0,20.0,4.508180758966322,101.0,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.0,0.0,0.0,0.0,False,False,,4.235228937681925,4.6151205168412615,,0.009900990099009901,,,,0.4956219160704767,1.041882096542846,,,,,,,,,0.9801980198019802,0.9801980198019802,0.9801980198019802,0.9801980198019802,True,True,True,False,,False,0.8240766238532132,False,bar
q,c,22,22,6.138582258279027,,22,22,False,0,0.0,False,0,0.0,0.1618242079889807,0.09588068181818182,212934.53925619836,461.4483061581203,0.0016050600737042172,14.0,2112.0,,,,,,,,,,,,,,11.090909090909092,7.0,4.0,27.0,7.391082408791944,22.0,0,False,0.0,0.0,0,False,0.0,False,0.0,0.0,0.0,0.0,False,False,2.4477460948805327,,,3.0910424533583156,,0.045454545454545456,7.1375270480249355,2.617824879276468,,,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,True,True,True,True,,,,,,,,,0.4317163608181023,False,,False,bar
q,q,7,7,1.5,1.1059999999999999,7,6,False,0,0.0,False,0,0.0,0.5714285714285714,0.5714285714285714,4.0,2.0,1.0,1.0,7.0,0.670690811535882,0.6713615023474179,2992.9795918367345,54.70813094812082,0.04773074405411303,55.0,213.0,,,,,,,,,,,,,0,False,0.0,0.0,0,False,0.0,False,-0.6188685716433862,0.13841381543767867,1.0,0.0005827505827505828,False,True,1.809117864013425,1.865705502227088,,,,,-1.25,0.0,-1.3002446142607804,-0.2990449773488997,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,True,True,True,False,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,True,True,True,False,1.0,True,0.5299612699105392,False,bar
c,q,4,4,,2.8902103765164293,4,4,False,0,0.0,False,0,0.0,,,,,,,,0.3435460311250356,0.18355221423437848,834.9449353274742,28.895413742105756,0.029942094313315088,0.5151926808906341,72.77045209380137,4.0,4.0,4.0,4.0,0.0,4.0,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.0,0.0,0.0,0.0,False,False,,0.7182305356200941,1.3862943611198906,,0.25,,,,-0.9295630791688274,0.8770685099084138,,,,,,,,,0.75,0.75,0.75,0.75,True,True,True,False,,True,0.6752952023354237,False,bar
c,q,62,62,,22.28254080347937,62,35,False,0,0.0,False,0,0.0,,,,,,,,0.04487817043923198,2.352016181871331e-06,196121461936.38293,442856.02845211775,6.810323724766763e-07,1.0,2976170.0,3.7903225806451615,3.0,2.0,10.0,1.1932214024633343,62.0,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.0,0.0,0.0,0.0,False,False,,1.9975962393691797,4.127134385045092,,0.016129032258064516,,,,25.941303720967873,4.845213221306872,,,,,,,,,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.9354838709677419,True,True,True,True,,False,0.09096039696571606,False,bar
q,q,5,5,1.8604651162790697,1.3333333333333333,5,5,False,0,0.0,False,0,0.0,0.5180722891566264,0.5180722891566264,2.0000000000000004,1.4142135623730951,1.0749999999999997,0.15,4.15,0.6,0.6,2.0,1.4142135623730951,1.5,1.0,5.0,,,,,,,,,,,,,0,False,0.0,0.0,0,False,0.0,False,1.0,0.0,0.2,1.0,True,False,1.347730739676583,1.4897503188505912,,,,,-1.3,3.7682219008410586e-16,-1.3,0.0,0.8,0.8,0.8,0.8,True,True,True,False,0.8,0.8,0.8,0.8,True,True,True,False,1.0,True,1.0,True,bar
q,q,10,10,1.0637406919460346,3.04,10,8,False,0,0.0,False,0,0.0,0.6527967609196177,0.6527967609196177,3225.7214227721865,56.795434876160485,0.05186403874416873,78.31759529851323,256.28028639859036,0.32894736842105265,0.1924342105263158,11965.6,109.38738501308092,0.008357290900581666,0.0,304.0,,,,,,,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.4592742710030656,0.1817807470380548,0.6,0.05244755244755244,False,False,2.2427741014511926,1.659104586854381,,,,,-1.2242424242424241,1.7156694557333232e-15,-1.0388271560662843,0.7541879359215748,0.9,0.9,0.9,0.9,True,True,True,False,0.7,0.7,0.7,0.7,True,True,True,False,1.0,True,0.22944106438456902,False,bar
c,q,207,207,,23.760478242512825,207,178,False,0,0.0,False,0,0.0,,,,,,,,0.04208654481507523,0.0029860969892864407,1.750443874692023,1.3230434137593607,0.2759824490371676,4.095103034839908e-05,11.478532855625915,17.17874396135266,17.0,3.0,39.0,7.696660444455514,207.0,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.0,0.0,0.0,0.0,False,False,,3.7248871180935708,5.33271879326537,,0.004830917874396135,,,,29.437264118529576,4.907834596932485,,,,,,,,,0.966183574879227,0.966183574879227,0.966183574879227,0.966183574879227,True,True,True,True,,False,0.13294847548880165,False,bar
c,q,13,13,,4.094863015592935,13,13,False,0,0.0,False,0,0.0,,,,,,,,0.2411383937801028,0.09989422760139412,1151888611.0059168,33939.48454243106,2.4145897745352175e-05,1450.0,115342.0,26.153846153846153,21.0,8.0,76.0,18.5300012613481,13.0,,,,,,,0,False,0.0,0.0,0,False,0.0,False,0.0,0.0,0.0,0.0,False,False,,1.9432637313551218,2.564949357461537,,0.07692307692307693,,,,1.0316745000606238,1.4933390476017525,,,,,,,,,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,True,True,True,False,,False,0.5294582882387048,False,bar
