param_criterion,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,mean_train_accuracy,mean_test_accuracy,mean_train_loss,mean_test_loss
gini,20,sqrt,2,200,0.9655077960387695,0.6548672566371682,0.03449220396123054,0.34513274336283184
gini,20,sqrt,2,300,0.9655288664138222,0.6547829751369575,0.034471133586177816,0.3452170248630425
gini,30,log2,2,300,0.9678676780446693,0.6546986936367467,0.03213232195533067,0.3453013063632533
entropy,20,log2,2,300,0.9659081331647703,0.654614412136536,0.03409186683522969,0.34538558786346396
gini,30,sqrt,2,300,0.9678676780446693,0.6546144121365359,0.03213232195533067,0.34538558786346407
entropy,30,sqrt,2,300,0.9678676780446693,0.6543615676359039,0.03213232195533067,0.3456384323640961
entropy,30,log2,2,300,0.9678676780446693,0.6542772861356931,0.03213232195533067,0.34572271386430686
gini,30,sqrt,2,200,0.9678676780446693,0.6539401601348505,0.03213232195533067,0.34605983986514954
gini,30,log2,2,200,0.9678676780446693,0.6534344711335862,0.03213232195533067,0.3465655288664138
entropy,20,log2,2,200,0.9659924146649811,0.6530973451327433,0.03400758533501891,0.3469026548672567
gini,20,sqrt,2,100,0.964833544037084,0.6530973451327433,0.03516645596291601,0.3469026548672567
gini,20,log2,2,300,0.9645174884112937,0.6530130636325326,0.0354825115887063,0.34698693636746736
gini,30,sqrt,5,200,0.9602402022756005,0.652928782132322,0.039759797724399526,0.34707121786767803
entropy,30,sqrt,2,200,0.9678676780446693,0.6527602191319006,0.03213232195533067,0.34723978086809937
entropy,30,log2,2,200,0.9678676780446693,0.6526759376316897,0.03213232195533067,0.34732406236831026
entropy,30,sqrt,5,300,0.962810788032027,0.6525916561314792,0.03718921196797298,0.3474083438685208
entropy,20,sqrt,2,300,0.9670670037926674,0.6525916561314792,0.03293299620733259,0.3474083438685208
entropy,20,sqrt,2,200,0.9668984407922461,0.6525073746312684,0.03310155920775393,0.3474926253687316
gini,20,log2,5,300,0.9448166877370416,0.6522545301306364,0.05518331226295836,0.3477454698693636
gini,20,log2,2,200,0.9646017699115044,0.6520016856300043,0.03539823008849563,0.34799831436999573
gini,30,sqrt,5,300,0.9608301727770755,0.6519174041297935,0.0391698272229245,0.3480825958702065
entropy,20,sqrt,5,300,0.9575221238938052,0.6518331226295828,0.0424778761061948,0.3481668773704172
entropy,30,sqrt,5,200,0.9621154656552887,0.6518331226295828,0.037884534344711285,0.3481668773704172
entropy,10,sqrt,10,300,0.7581963758954909,0.6518331226295827,0.24180362410450906,0.3481668773704173
entropy,30,log2,5,200,0.9591024020227561,0.6517488411293721,0.040897597977243905,0.34825115887062785
entropy,20,log2,5,200,0.9502949852507374,0.6515802781289507,0.04970501474926259,0.3484197218710493
gini,30,log2,5,300,0.9572692793931733,0.6515802781289507,0.0427307206068267,0.3484197218710493
gini,20,sqrt,10,300,0.9038769490096923,0.65149599662874,0.09612305099030771,0.34850400337126
gini,10,sqrt,10,300,0.7570796460176992,0.6514959966287399,0.24292035398230083,0.3485040033712601
gini,30,log2,2,100,0.9678044669195112,0.6514959966287399,0.032195533080488836,0.3485040033712601
entropy,30,log2,5,300,0.9595448798988622,0.6513274336283186,0.04045512010113783,0.3486725663716814
entropy,10,sqrt,10,200,0.7582806573957017,0.6513274336283186,0.24171934260429828,0.3486725663716814
entropy,30,sqrt,2,100,0.9677833965444584,0.6512431521281079,0.03221660345554156,0.3487568478718921
gini,20,sqrt,10,200,0.9032659081331648,0.6512431521281078,0.09673409186683524,0.3487568478718922
gini,20,sqrt,5,300,0.9505478297513695,0.6510745891276863,0.04945217024863047,0.34892541087231366
gini,30,sqrt,5,100,0.9587442056468605,0.6509903076274758,0.04125579435313953,0.3490096923725242
entropy,10,sqrt,10,100,0.7574378423935946,0.650906026127265,0.24256215760640543,0.349093973872735
gini,20,log2,5,200,0.9439106616097768,0.650906026127265,0.05608933839022323,0.349093973872735
entropy,20,sqrt,2,100,0.9663084702907712,0.650906026127265,0.03369152970922884,0.349093973872735
entropy,20,sqrt,5,200,0.9569321533923304,0.6508217446270544,0.0430678466076696,0.34917825537294556
entropy,20,log2,5,300,0.9508638853771597,0.6508217446270543,0.04913611462284029,0.34917825537294567
gini,10,sqrt,2,300,0.7786978508217446,0.6506531816266329,0.22130214917825541,0.3493468183733671
gini,10,sqrt,2,200,0.7787189211967972,0.6505689001264223,0.2212810788032028,0.3494310998735777
gini,30,sqrt,2,100,0.9678044669195112,0.6504003371260009,0.032195533080488836,0.34959966287399913
gini,10,sqrt,10,200,0.7568689422671724,0.6503160556257902,0.24313105773282762,0.3496839443742098
entropy,10,sqrt,5,300,0.7733881163084703,0.6502317741255794,0.22661188369152974,0.3497682258744206
entropy,10,sqrt,2,200,0.7831858407079645,0.6501474926253688,0.2168141592920355,0.34985250737463125
gini,20,sqrt,5,200,0.9503371260008429,0.6498946481247365,0.04966287399915714,0.3501053518752635
gini,20,log2,10,300,0.8937842393594606,0.649810366624526,0.10621576064053939,0.35018963337547404
entropy,20,sqrt,5,100,0.955204382638011,0.6497260851243152,0.044795617361989004,0.3502739148756848
entropy,10,sqrt,2,100,0.7821955330804888,0.6497260851243152,0.21780446691951116,0.3502739148756848
gini,20,log2,10,200,0.8926885798567215,0.6497260851243152,0.10731142014327855,0.3502739148756848
entropy,10,sqrt,5,100,0.7717656974294143,0.6496418036241044,0.22823430257058575,0.3503581963758956
entropy,20,log2,5,100,0.9488411293721029,0.6495575221238938,0.051158870627897146,0.35044247787610616
gini,20,log2,2,100,0.9639064475347661,0.6494732406236832,0.036093552465233936,0.35052675937631683
